81, 81, 81, 81, 81, 82, 81, 81, 84, 84
84, 84, 84, 84, 84, 84, 67, 56, 73, 19
52, 52, 53, 53, 52, 52, 52, 20, 81, 81
82, 81, 81, 81, 81, 81, 82, 81, 81, 82
84, 84, 84, 84, 84, 84, 84, 84, 67, 64
73, 19, 52, 53, 52, 52, 52, 52, 53, 23
81, 81, 81, 82, 81, 81, 81, 81, 81, 81
84, 84, 84, 84, 84, 84, 84, 83, 84, 84
67, 74, 73, 22, 16, 18, 18, 16, 88, 90
18, 20, 81, 82, 81, 81, 81, 81, 82, 81
81, 84, 84, 84, 84, 84, 84, 84, 84, 84
84, 84, 67, 58, 73, 16, 21, 17, 25, 16
21, 17, 16, 16, 81, 81, 81, 81, 81, 81
81, 81, 81, 84, 83, 84, 84, 84, 84, 84
84, 84, 84, 84, 67, 62, 78, 74, 74, 74
74, 74, 74, 74, 74, 74, 74, 74, 74, 74
81, 81, 81, 81, 81, 84, 84, 84, 84, 84
83, 84, 84, 84, 84, 84, 72, 68, 68, 68
68, 68, 68, 68, 68, 68, 68, 68, 68, 68
68, 68, 81, 81, 81, 81, 82, 84, 84, 84
84, 84, 83, 84, 84, 84, 83, 84, 61, 55
59, 63, 54, 67, 73, 71, 68, 68, 68, 68
68, 68, 68, 68, 81, 81, 82, 81, 81, 84
84, 84, 84, 84, 83, 84, 84, 84, 84, 84
84, 84, 84, 84, 56, 67, 73, 67, 84, 84
82, 81, 81, 81, 81, 81, 81, 81, 81, 81
81, 84, 84, 84, 84, 84, 83, 84, 84, 84
84, 84, 84, 84, 84, 84, 64, 67, 73, 67
83, 84, 84, 81, 81, 81, 81, 81, 81, 81
81, 81, 81, 84, 84, 84, 84, 84, 84, 84
84, 84, 84, 84, 84, 84, 84, 84, 66, 67
73, 67, 83, 84, 84, 81, 81, 82, 81, 81
81, 81, 81, 81, 82, 84, 84, 84, 83, 84
84, 84, 84, 84, 84, 84, 83, 84, 84, 84
62, 67, 73, 67, 84, 83, 81, 81, 81, 81
81, 81, 81, 81, 81, 81, 81, 84, 84, 84
84, 84, 84, 84, 84, 84, 84, 84, 84, 84
84, 84, 58, 67, 73, 67, 84, 84, 81, 81
81, 81, 81, 81, 81, 81, 81, 81, 81, 84
84, 84, 84, 84, 84, 84, 84, 83, 84, 84
84, 84, 84, 84, 62, 67, 73, 67, 84, 84
81, 81, 81, 81, 81, 81, 81, 81, 81, 81
81, 84, 84, 84, 84, 84, 84, 83, 84, 84
84, 84, 84, 84, 84, 84, 56, 67, 73, 67
84, 84, 82, 81, 81, 81, 81, 81, 81, 81
81, 81, 82, 84, 84, 84, 84, 84, 84, 84
84, 84, 84, 84, 84, 84, 84, 84, 62, 73
73, 72, 68, 68, 68, 68, 68, 68, 68, 68
81, 81, 81, 81, 81, 84, 84, 84, 84, 84
84, 84, 84, 84, 84, 84, 84, 84, 84, 84
84, 84, 73, 84, 84, 84, 84, 84, 84, 84
84, 84, 81, 81, 81, 81, 81, 84, 84, 84
84, 84, 84, 84, 84, 84, 84, 84, 83, 84
84, 84, 84, 84, 73, 84, 84, 84, 84, 84
84, 84, 84, 84, 81, 81, 81, 81, 81, 81
84, 84, 84, 84, 84, 84, 84, 84, 84, 84
84, 84, 84, 83, 84, 84, 73, 84, 83, 84
84, 84, 83, 84, 84, 84, 81, 81, 81, 81
81, 81, 81, 82, 84, 84, 84, 84, 84, 84
84, 84, 84, 84, 84, 84, 84, 84, 73, 84
84, 84, 84, 84, 84, 84, 84, 84, 81, 81
81, 81, 81, 81, 81, 81, 81, 81, 81, 81
81, 84, 84, 84, 84, 84, 84, 84, 84, 84
73, 84, 84, 84, 84, 84, 84, 84, 84, 83
81, 81, 81, 81, 81, 81, 81, 81, 81, 81
82, 81, 81, 84, 84, 84, 84, 84, 84, 84
84, 84, 73, 84, 84, 84, 84, 84, 84, 84
84, 84, 81, 81, 81, 81, 81, 82, 81, 81
81, 81, 81, 81, 81, 81, 84, 84, 83, 84
84, 84, 84, 84, 73, 84, 84, 84, 83, 83
84, 84, 84, 84, 81, 81, 81, 81, 81, 81
81, 81, 81, 81, 81, 81, 81, 81, 84, 84
84, 84, 84, 84, 84, 84, 73, 84, 84, 84
84, 84, 84, 84, 84, 84, 81, 81, 82, 81
81, 81, 81, 81, 81, 81, 81, 81, 81, 81
84, 84, 84, 84, 84, 83, 84, 84, 73, 59
73, 55, 73, 65, 59, 73, 73, 84, 81, 81
81, 81, 81, 81, 81, 81, 81, 81, 81, 81
81, 82, 84, 84, 84, 84, 84, 84, 84, 84
73, 40, 40, 52, 52, 53, 52, 41, 41, 84
81, 81, 81, 81, 81, 81, 81, 81, 81, 81
81, 81, 81, 81, 84, 83, 84, 84, 84, 84
84, 84, 73, 40, 40, 52, 53, 52, 52, 41
41, 84, 81, 81, 81, 81, 81, 81, 81, 81
82, 81, 81, 81, 81, 81, 84, 84, 84, 84
84, 84, 84, 84, 73, 40, 34, 34, 36, 34
34, 34, 41, 84, 81, 81, 81, 82, 81, 81
81, 81, 81, 81, 81, 81, 81, 81, 84, 84
84, 84, 84, 84, 84, 84, 73, 34, 44, 45
35, 34, 46, 34, 34, 84, 81, 81, 81, 81
81, 81, 81, 81, 81, 81, 81, 81, 81, 82
81, 81, 84, 84, 84, 84, 84, 84, 78, 74
74, 74, 74, 74, 74, 74, 84, 84, 81, 81
81, 81, 81, 81, 81, 81, 81, 81, 81, 81
81, 81, 81, 81, 84, 84, 84, 84, 84, 84
84, 84, 84, 84, 84, 84, 84, 84, 84, 84
81, 81, 81, 81, 81, 81, 82, 81, 81, 81
81, 81, 81, 81, 81, 82, 81, 84, 84, 84
84, 84, 84, 84, 84, 84, 84, 84, 84, 84
84, 84, 81, 81, 81, 81, 81, 81, 81, 81
81, 81, 81, 81, 81, 81, 81, 81, 81, 84
84, 84, 84, 84, 84, 84, 84, 84, 84, 84
84, 84, 84, 84, 
